Transaction Number,Date,Description,Memo,Category,Transaction Amount,Balance,Type
32068,26/01/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,744418.16,Recurring
32053,27/01/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-128.87,744289.29,Occasional
32057,30/01/2018,DEBIT PURCHASE,Kinderkookkafe,Food & Dining,-541.87,743747.42,Occasional
32040,30/01/2018,DEBIT PURCHASE,Neuticles,Pets,-3564.21,740183.21,Occasional
32072,01/02/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-103015.35,637167.86,Recurring
32071,01/02/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,-30256.38,606911.48,Recurring
32073,02/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-11157.87,595753.61,Recurring
32076,03/02/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2552.26,593201.35,Recurring
32103,04/02/2018,DEBIT PURCHASE,"Cirque du Soleil , Private Show",Entertainment,-18365.32,574836.03,Occasional
32078,04/02/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-25362.87,549473.16,Recurring
32092,05/02/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,549070.66,Occasional
32080,05/02/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-2241.12,546829.54,Recurring
32079,05/02/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-21684.25,525145.29,Recurring
101536,05/02/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,16814.96,541960.25,Recurring
32086,06/02/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,541557.25,Occasional
32081,06/02/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,536325.60,Recurring
32083,07/02/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,534973.58,Recurring
32082,07/02/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,524647.95,Recurring
101574,07/02/2018,BALANCE TRANSER,Savings Account,Transfer,70000.00,594647.95,Recurring
32088,08/02/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-554.12,594093.83,Occasional
32084,09/02/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,583593.31,Recurring
32098,12/02/2018,DEBIT PURCHASE,The Varsity Downtown,Food & Dining,-77.69,583515.62,Occasional
32085,12/02/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-6536.25,576979.37,Recurring
32077,12/02/2018,DEBIT PURCHASE,Clifton’s Cafeteria,Food & Dining,-689.58,576289.79,Occasional
32074,12/02/2018,DEBIT PURCHASE,Robby The Robot,Shopping,-20321.58,555968.21,Occasional
32087,13/02/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,555964.96,Occasional
32089,14/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,549464.96,Recurring
32090,15/02/2018,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,519438.61,Recurring
32075,15/02/2018,DEBIT PURCHASE,Pet Peek Fence Windows,Pets,-6502.11,512936.50,Occasional
32091,16/02/2018,DEBIT PURCHASE,Beach Rental,Entertainment,-15666.61,497269.89,Occasional
101602,16/02/2018,BALANCE TRANSER,Money Market,Transfer,50000.00,547269.89,Recurring
32105,19/02/2018,DEBIT PURCHASE,Annual Cyber Diagnostic Checkup,Health & Fitness,-5703.65,541566.24,Occasional
32095,21/02/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,540667.92,Recurring
32094,21/02/2018,DEBIT PURCHASE,Spacesuit Dry Cleaning,Clothing & Personal,-1605.23,539062.69,Occasional
32096,22/02/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,526696.74,Recurring
32097,23/02/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,521335.42,Recurring
32100,24/02/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,512675.94,Recurring
32099,24/02/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,510168.95,Recurring
32102,25/02/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,507863.74,Recurring
32101,25/02/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-14030.25,493833.49,Recurring
32104,26/02/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,491267.12,Recurring
32107,01/03/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-103015.35,388251.77,Recurring
32106,01/03/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,-30256.38,357995.39,Recurring
32127,02/03/2018,DEBIT PURCHASE,Forbes Island,Food & Dining,-3206.68,354788.71,Occasional
32108,02/03/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-11157.87,343630.84,Recurring
32111,03/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2552.26,341078.58,Recurring
32113,04/03/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-25362.87,315715.71,Recurring
32115,05/03/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-2241.12,313474.59,Recurring
32114,05/03/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-56825.35,256649.24,Recurring
101537,05/03/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,17924.93,274574.17,Recurring
32116,06/03/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,269342.52,Recurring
32118,07/03/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,267990.50,Recurring
32117,07/03/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,257664.87,Recurring
101575,07/03/2018,BALANCE TRANSER,Savings Account,Transfer,70000.00,327664.87,Recurring
32119,09/03/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,317164.35,Recurring
32137,10/03/2018,DEBIT PURCHASE,"Black Panther , Private Show",Entertainment,-3526.25,313638.10,Occasional
32132,11/03/2018,DEBIT PURCHASE,Perlan,Food & Dining,-85.63,313552.47,Occasional
32121,11/03/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,313149.47,Occasional
32120,12/03/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-6536.25,306613.22,Recurring
32122,13/03/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,306609.97,Occasional
32110,13/03/2018,DEBIT PURCHASE,Burger Pillows,Pets,-85.11,306524.86,Occasional
32124,14/03/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,300024.86,Recurring
32109,14/03/2018,DEBIT PURCHASE,Bat Golf Cart,Shopping,-23056.78,276968.08,Occasional
32125,15/03/2018,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,246941.73,Recurring
101603,16/03/2018,BALANCE TRANSER,Money Market,Transfer,50000.00,296941.73,Recurring
32112,17/03/2018,DEBIT PURCHASE,Amangani,Food & Dining,-985.75,295955.98,Occasional
32129,21/03/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,295057.66,Recurring
32128,21/03/2018,DEBIT PURCHASE,Personalized Bathtub,Clothing & Personal,-8232.98,286824.68,Occasional
32130,22/03/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,274458.73,Recurring
32131,23/03/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,269097.41,Recurring
32139,24/03/2018,DEBIT PURCHASE,Thighmaster Marathon,Health & Fitness,-3205.25,265892.16,Occasional
32134,24/03/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,257232.68,Recurring
32133,24/03/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,254725.69,Recurring
32123,24/03/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-354.87,254370.82,Occasional
32136,25/03/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,252065.61,Recurring
32135,25/03/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-14030.25,238035.36,Recurring
32138,26/03/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,235468.99,Recurring
32140,31/03/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,235066.49,Occasional
32142,01/04/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-103015.35,132051.14,Recurring
32141,01/04/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,-30256.38,101794.76,Recurring
32143,02/04/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-11157.87,90636.89,Recurring
32144,03/04/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2552.26,88084.63,Recurring
32148,04/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-25362.87,62721.76,Recurring
32150,05/04/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-2241.12,60480.64,Recurring
32149,05/04/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-6725.35,53755.29,Recurring
101538,05/04/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,30235.66,83990.95,Recurring
32151,06/04/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,78759.30,Recurring
32153,07/04/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,77407.28,Recurring
32152,07/04/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,67081.65,Recurring
32146,07/04/2018,DEBIT PURCHASE,Dog House Sofa,Pets,-12953.32,54128.33,Occasional
101576,07/04/2018,BALANCE TRANSER,Savings Account,Transfer,70000.00,124128.33,Recurring
32154,09/04/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,113627.81,Recurring
32172,10/04/2018,DEBIT PURCHASE,"Maroon 5, Private Show",Entertainment,-25006.35,88621.46,Occasional
32162,11/04/2018,DEBIT PURCHASE,Devil Island Prison Restaurant,Food & Dining,-1896.78,86724.68,Occasional
32158,11/04/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-19.97,86704.71,Occasional
32155,12/04/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-6536.25,80168.46,Recurring
32157,13/04/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,80165.21,Occasional
32159,14/04/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,73665.21,Recurring
32167,15/04/2018,DEBIT PURCHASE,The Bubble Room,Food & Dining,-897.11,72768.10,Occasional
32160,15/04/2018,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,42741.75,Recurring
101556,15/04/2018,DIRECT DEPOSIT,Trust Fund Stock,Dividends,835412.01,878153.76,Recurring
32161,16/04/2018,DEBIT PURCHASE,Hoverboard Rental,Entertainment,-834.13,877319.63,Occasional
101604,16/04/2018,BALANCE TRANSER,Money Market,Transfer,50000.00,927319.63,Recurring
32175,19/04/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,926917.13,Occasional
32164,21/04/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,926018.81,Recurring
32163,21/04/2018,DEBIT PURCHASE,Closet Humidifier,Clothing & Personal,-2587.62,923431.19,Occasional
32147,21/04/2018,DEBIT PURCHASE,mars 2112,Food & Dining,-325.86,923105.33,Occasional
32165,22/04/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,910739.38,Recurring
32174,23/04/2018,DEBIT PURCHASE,Sauna Suit,Health & Fitness,-19987.99,890751.39,Occasional
32166,23/04/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,885390.07,Recurring
32169,24/04/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,876730.59,Recurring
32168,24/04/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,874223.60,Recurring
32171,25/04/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,871918.39,Recurring
32170,25/04/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-14030.25,857888.14,Recurring
32173,26/04/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2966.35,854921.79,Recurring
32156,27/04/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,854518.79,Occasional
32145,27/04/2018,DEBIT PURCHASE,Ecosse Titanium Series FE Ti XX Motorcycle,Auto & Transport,-280001.62,574517.17,Occasional
32177,01/05/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-103015.35,471501.82,Recurring
32176,01/05/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,-30256.38,441245.44,Recurring
32178,02/05/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-11157.87,430087.57,Recurring
32197,03/05/2018,DEBIT PURCHASE,The Disaster Cafe,Food & Dining,-356.98,429730.59,Occasional
32182,03/05/2018,DEBIT PURCHASE,Gold-Threaded Pet Mattress,Pets,-1293.23,428437.36,Occasional
32179,03/05/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2552.26,425885.10,Recurring
32180,04/05/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-25362.87,400522.23,Recurring
32185,05/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-2241.12,398281.11,Recurring
32184,05/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-16719.19,381561.92,Recurring
101539,05/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,32325.75,413887.67,Recurring
32186,06/05/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,408656.02,Recurring
32188,07/05/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,407304.00,Recurring
32187,07/05/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,396978.37,Recurring
101577,07/05/2018,BALANCE TRANSER,Savings Account,Transfer,70000.00,466978.37,Recurring
32210,08/05/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,466575.87,Occasional
32189,09/05/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,456075.35,Recurring
32190,12/05/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-6536.25,449539.10,Recurring
32192,13/05/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,449535.85,Occasional
32194,14/05/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,443035.85,Recurring
32202,15/05/2018,DEBIT PURCHASE,The Heart Attack Grill,Food & Dining,-65.78,442970.07,Occasional
32195,15/05/2018,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,412943.72,Recurring
32196,16/05/2018,DEBIT PURCHASE,Self Driving Bike Rental,Entertainment,-1023.88,411919.84,Occasional
32191,16/05/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,411516.84,Occasional
101605,16/05/2018,BALANCE TRANSER,Money Market,Transfer,50000.00,461516.84,Recurring
32199,21/05/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,460618.52,Recurring
32198,21/05/2018,DEBIT PURCHASE,Tibetan Pajamas,Clothing & Personal,-652.87,459965.65,Occasional
32193,21/05/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-45.54,459920.11,Occasional
32181,21/05/2018,DEBIT PURCHASE,Harry Winston Opus 12 Watch,Shopping,-26023.32,433896.79,Occasional
32200,22/05/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,421530.84,Recurring
32201,23/05/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,416169.52,Recurring
32204,24/05/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,407510.04,Recurring
32203,24/05/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,405003.05,Recurring
32206,25/05/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,402697.84,Recurring
32205,25/05/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-14030.25,388667.59,Recurring
32208,26/05/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2966.35,385701.24,Recurring
32212,01/06/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-103015.35,282685.89,Recurring
32211,01/06/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,-30256.38,252429.51,Recurring
32245,02/06/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,252027.01,Occasional
32213,02/06/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-11157.87,240869.14,Recurring
32214,03/06/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2552.26,238316.88,Recurring
32215,04/06/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-25362.87,212954.01,Recurring
32219,05/06/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-2241.12,210712.89,Recurring
32218,05/06/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-18290.82,192422.07,Recurring
101540,05/06/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,34415.84,226837.91,Recurring
32232,06/06/2018,DEBIT PURCHASE,Norma’s,Food & Dining,-423.78,226414.13,Occasional
32221,06/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,221182.48,Recurring
32223,07/06/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,219830.46,Recurring
32222,07/06/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,209504.83,Recurring
101578,07/06/2018,BALANCE TRANSER,Savings Account,Transfer,70000.00,279504.83,Recurring
32224,09/06/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,269004.31,Recurring
32217,10/06/2018,DEBIT PURCHASE,"Guy Savoy, Paris (Groupon) ",Food & Dining,-13987.25,255017.06,Occasional
32226,11/06/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,254614.06,Occasional
32225,12/06/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-6536.25,248077.81,Recurring
32220,12/06/2018,DEBIT PURCHASE,Dog Sparkling Water - 30 Cases,Pets,-400.00,247677.81,Occasional
32227,13/06/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,247674.56,Occasional
32229,14/06/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,241174.56,Recurring
32230,15/06/2018,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,211148.21,Recurring
32242,16/06/2018,DEBIT PURCHASE,Mean Girls.,Entertainment,-982.25,210165.96,Occasional
32231,16/06/2018,DEBIT PURCHASE,Underwater World Cruise,Entertainment,-50788.56,159377.40,Occasional
101606,16/06/2018,BALANCE TRANSER,Money Market,Transfer,50000.00,209377.40,Recurring
32244,18/06/2018,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,-15020.32,194357.08,Occasional
32234,21/06/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,193458.76,Recurring
32233,21/06/2018,DEBIT PURCHASE,Dry Wetsuite,Clothing & Personal,-8952.45,184506.31,Occasional
32235,22/06/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,172140.36,Recurring
32236,23/06/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,166779.04,Recurring
32239,24/06/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,158119.56,Recurring
32238,24/06/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,155612.57,Recurring
32241,25/06/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,153307.36,Recurring
32240,25/06/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-14030.25,139277.11,Recurring
32243,26/06/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2966.35,136310.76,Recurring
32237,27/06/2018,DEBIT PURCHASE,Masa,Food & Dining,-3256.30,133054.46,Occasional
32247,01/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-103015.35,30039.11,Recurring
32246,01/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,-30256.38,-217.27,Recurring
32248,02/07/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-11157.87,-11375.14,Recurring
32249,03/07/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2552.26,-13927.40,Recurring
32250,04/07/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-25362.87,-39290.27,Recurring
32254,05/07/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-2241.12,-41531.39,Recurring
32253,05/07/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-9025.66,-50557.05,Recurring
32251,05/07/2018,DEBIT PURCHASE,Victorinox 1TB Swiss Army Knife,Shopping,-3102.23,-53659.28,Occasional
101541,05/07/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,36505.93,-17153.35,Recurring
32256,06/07/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-3152.25,-20305.60,Recurring
32258,07/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,-21657.62,Recurring
32257,07/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,-31983.25,Recurring
101579,07/07/2018,BALANCE TRANSER,Savings Account,Transfer,70000.00,38016.75,Recurring
32252,08/07/2018,DEBIT PURCHASE,Bubba Gump Shrimp Co.,Food & Dining,-1138.69,36878.06,Occasional
32259,09/07/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,26377.54,Recurring
5102,09/07/2018,BALANCE TRANSER,Emergency Account,Transfer,50000.00,76377.54,Occasional
32272,10/07/2018,DEBIT PURCHASE,Oasis Cafe,Food & Dining,-987.65,75389.89,Occasional
32267,11/07/2018,DEBIT PURCHASE,Sur un Arbre Perche,Food & Dining,-1356.88,74033.01,Occasional
32260,12/07/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-6536.25,67496.76,Recurring
32262,13/07/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,67493.51,Occasional
32264,14/07/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,60993.51,Recurring
32265,15/07/2018,DEBIT PURCHASE,Personal Satellite Network,Utilities,-25026.35,35967.16,Recurring
101557,15/07/2018,DIRECT DEPOSIT,Trust Fund Stock,Dividends,733582.26,769549.42,Recurring
32266,16/07/2018,DEBIT PURCHASE,Flame thrower lessons,Entertainment,-899.31,768650.11,Occasional
101607,16/07/2018,BALANCE TRANSER,Money Market,Transfer,50000.00,818650.11,Recurring
32279,20/07/2018,DEBIT PURCHASE,3d Facial Treatment,Health & Fitness,-18356.65,800293.46,Occasional
32269,21/07/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,799395.14,Recurring
32268,21/07/2018,DEBIT PURCHASE,Kentuck Derby Hat,Clothing & Personal,-637.21,798757.93,Occasional
32270,22/07/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,786391.98,Recurring
32271,23/07/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,781030.66,Recurring
5103,23/07/2018,PAYMENT/TRANSFER DEBIT,Overdraft Charge,Fees & Charges,-10000.00,771030.66,Occasional
32274,24/07/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,762371.18,Recurring
32273,24/07/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,759864.19,Recurring
32255,24/07/2018,DEBIT PURCHASE,Dog Snuggies,Pets,-200.05,759664.14,Occasional
32276,25/07/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,757358.93,Recurring
32275,25/07/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-14030.25,743328.68,Recurring
32278,26/07/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2966.35,740362.33,Recurring
32280,27/07/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,739959.83,Occasional
32263,27/07/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-12.37,739947.46,Occasional
32277,28/07/2018,DEBIT PURCHASE,My Fair Lady,Entertainment,-25006.35,714941.11,Occasional
32261,28/07/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,714538.11,Occasional
32286,01/08/2018,DEBIT PURCHASE,Boxx Suitcase Scooter,Shopping,-4321.23,710216.88,Occasional
32282,01/08/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-103015.35,607201.53,Recurring
32281,01/08/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,-30256.38,576945.15,Recurring
32283,02/08/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-11157.87,565787.28,Recurring
32284,03/08/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2552.26,563235.02,Recurring
32285,04/08/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-25362.87,537872.15,Recurring
32289,05/08/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-2241.12,535631.03,Recurring
